Rooms,Footage,Rent,address,title,description,street,city,canton
2.5,87,5350,"Ankerstrasse 114, 8004 Zürich, ZH",«2.5 Zimmer Maisonettewohnung»,"Zentral inmitten der kulturell gewachsenen und modern gewandelten Umgebung, prägt das Platz4-Projekt die Entwicklung im neuen Kreis 4. Platz4 kombiniert die urbane Moderne mit klassischem Charme.Lebensfreude pur. 24/7, rund um die Uhr. 365 Tage im Jahr.- modern designte Küche- keramische Bodenplatten in Parkettoptik- Nasszelle mit hellen keramischen Platten- grosse Dusche- Waschturm in jeder Wohnung- Wände mit Weissputz- Decken mit weissputz- Vorhangschienen bei allen Fenstern- elektrische Aluminiumverbundraffstoren- überhohen Decken- Balkon un",Ankerstrasse 114,8004 Zürich,ZH
5.5,150,2480,"Hofackerstrasse 6, 8444 Henggart, ZH",«Tolle 5.5-Zimmer-Maisonettewohnung an bevorzugter Wohnlage»,Wir vermieten per 1. Oktober 2023 eine moderne 5.5-Zimmer-Dachmaisonettewohnung an verkehrsberuhigter Lage in Henggart.Facts:-grosszügiger Grundriss-schöner gedeckter Balkon-Lift von Untergeschoss/Tiefgarage-Parkettboden in allen Räumen / Platten in Küche und Nasszellen-moderne offene Küche-Zwei Nasszellen mit Qualitätsprodukten-eigener Waschturm im BadezimmerNebenobjekte:Einstellplatz in Tiefgarage monatlich Fr. 120.-Eine Besichtigung lohnt sich auf jeden Fall. Wir freuen uns auf Ihren Anruf.,Hofackerstrasse 6,8444 Henggart,ZH
2.5,61,3480,"Limmatstrasse 27, 8005 Zürich, ZH",«Moderne und attraktive 2.5 Zimmerwohnung im Herzen von Zürich»,,Limmatstrasse 27,8005 Zürich,ZH
3.5,136,4300,"Oberalbis 28, 8915 Hausen am Albis, ZH","«Wohnen auf dem Südplateau - täglich grüssen Zugersee, Rigi und Pilatus»","Auf dem Südplateau des Albis, im malerischen Weiler Oberalbis auf über 800 m.ü.M und an sonnenverwöhnter Lage, wartet diese Neubau-Residenz auf Sie. Dank der perfekten Südausrichtung werden Sie hier beinah endlos mit Sonne und Licht verwöhnt. Die unverbaubare Panoramasicht dürfen Sie zu jeder Jahreszeit in unterschiedlichen Facetten geniessen.Diese hochwertig ausgebaute 3.5-Zi-Maisonette-Wohnung zeichnet sich durch elegantes Design und sehr komfortable Annehmlichkeiten wie grosszügige Räume, moderne und offene Küche, Cheminée, eigene Sauna, Sch",Oberalbis 28,8915 Hausen am Albis,ZH
3.5,100,5190,"Dufourstrasse 131, 8008 Zürich, ZH","«Unserviced, exclusive and spacious home at Lake Zurich with private rooftop access»",,Dufourstrasse 131,8008 Zürich,ZH
5.5,144,4900,"Haldenstrasse 54, 8904 Aesch ZH, ZH",«WOHNEN IM WUNDERSCHÖNEN AESCH B. ZÜRICH MIT EINER TRAUMHAFTEN WEITSICHT»,,Haldenstrasse 54,8904 Aesch ZH,ZH
3.5,92,3150,"Mettenstäge 25, 8193 Eglisau, ZH",«Wunderschöne 3.5-Zimmer-Terrassen-Wohnung mit Sicht auf den Rhein»,,Mettenstäge 25,8193 Eglisau,ZH
3.5,63,1740,"Schmittegass 11, 8197 Rafz, ZH",«Schöne Neubau-Wohnung an zentraler Lage»,,Schmittegass 11,8197 Rafz,ZH
4.5,173,12710,"Seestrasse 274, 8700 Küsnacht ZH, ZH",«Exklusive 4.5-Zimmerwohnung mit fantastischer Aussicht auf den See und Nachmittags-/Abendsonne»,,Seestrasse 274,8700 Küsnacht ZH,ZH
2.5,58,3460,"Schaffhauserstrasse 439, 8050 Zürich, ZH",«Modern Apartments - Zurich Oerlikon»,,Schaffhauserstrasse 439,8050 Zürich,ZH
3.5,104,2270,"Zürcherstrasse 163, 8406 Winterthur, ZH",«Grosszügige Wohnung in Winterthur»,,Zürcherstrasse 163,8406 Winterthur,ZH
3.5,83,2290,"Usterstrasse 125, 8620 Wetzikon ZH, ZH",«Erstvermietung - 3.5 Zimmerwohnung zu vermieten»,,Usterstrasse 125,8620 Wetzikon ZH,ZH
3.5,103,3600,"Krästelstrasse 56, 8106 Adlikon b. Regensdorf, ZH",«Gartenwohnung - Best of Adlikon - Lichtdurchflutete 3 1/2 Zimmer - sehr hochwertigem Ausbaustandard»,,Krästelstrasse 56,8106 Adlikon b. Regensdorf,ZH
3.5,96,4395,"Marktgasse 11, 8302 Kloten, ZH",«Modern Apartments - Zurich Airport»,,Marktgasse 11,8302 Kloten,ZH
2.5,57,1580,"Mörlerstrasse 22, 8248 Uhwiesen, ZH","«Moderne, sonnige 2,5-Zimmerwohnung an ruhiger Lage in Uhwiesen»",,Mörlerstrasse 22,8248 Uhwiesen,ZH
2.5,60,2600,"Buchserstrasse, 8157 Dielsdorf, ZH","«Möblierte Wohnung Zürich: 2,5 Zimmer mit Terrasse»",,Buchserstrasse,8157 Dielsdorf,ZH
2.5,66,3300,"Giessenstrasse 19, 8600 Dübendorf, ZH",«Family Apartments - Zürich Dübendorf»,,Giessenstrasse 19,8600 Dübendorf,ZH
2.5,73,3250,"Marktgasse 13, 8302 Kloten, ZH",«Modern Apartments Zurich Airport»,,Marktgasse 13,8302 Kloten,ZH
3.5,85,2040,"Im Hof 3, 8471 Oberwil (Dägerlen), ZH",«3.5-ZWG Neuer Lebensstil zugunsten von Umwelt und Klima»,,Im Hof 3,8471 Oberwil (Dägerlen),ZH
1.0,25,1450,"Bergstrasse, 8107 Buchs ZH, ZH","«Möbliertes Zimmer mit eigenem Bad, Sat-TV, Internet, Reinigung»",,Bergstrasse,8107 Buchs ZH,ZH
4.5,118,2830,"Glärnischstrasse 17, 8632 Tann, ZH",«Gratis Einstellplatz in den ersten 3 Monaten»,,Glärnischstrasse 17,8632 Tann,ZH
1.5,46,1970,"Bachtelstrasse 3, 8107 Buchs ZH, ZH",«Neue Attikawohnung zu vermieten»,,Bachtelstrasse 3,8107 Buchs ZH,ZH
2.5,60,2420,"Bachtelstrasse 3, 8107 Buchs ZH, ZH",«Neue Attikawohnung zu vermieten»,,Bachtelstrasse 3,8107 Buchs ZH,ZH
2.5,69,2800,"Bachtelstrasse 3, 8107 Buchs ZH, ZH",«Neue Attikawohnung zu vermieten»,,Bachtelstrasse 3,8107 Buchs ZH,ZH
2.5,64,2660,"Wehntalerstrasse, 8157 Dielsdorf, ZH",«Helle und gepflegte 2.5-ZIMMERWOHNUNG mit TERRASSE und eigener Waschküche»,,Wehntalerstrasse,8157 Dielsdorf,ZH
1.5,35,1620,"Bernerstrasse Süd 167, 8048 Zürich, ZH",«City Pop - Furnished Apartment in Zurich-Altstetten»,"City Pop - Deine flexible Lösung für lange und kürzere Aufenthalte um dich wie zu Hause zu fühlen.Ab 405CHF/Woche bis 500CHF/Woche, bieten wir zentral gelegene Wohnungen in Zürich-Altstetten an, von rund 30-35 Quadratmeter. Wir bieten verschieden typologien an Pop: M, L oder XL. Diese möblierte Wohnungen garantieren ein authentisches Wohnerlebnis.Top Lage: alle Pop Wohnungen blicken auf einen wunderschönen grünen Park im Inneren des Gebäudes, der ein angenehmer Gemeinschaftsbereich zum Entspannen ist. Die Wohnungen befinden sich NICHT auf der S",Bernerstrasse Süd 167,8048 Zürich,ZH
